dataset,problem,action,justification,rows_affected
learners,Fully duplicate rows,Dropped (kept first),Identical across all columns; a true duplicate record adds no information and would double-count the learner,3
learners,Missing learner_id,Excluded from analysis (kept in flagged file),No key means the row cannot be joined to any other dataset and contributes nothing usable,2
learners,Duplicate learner_id (post-normalization),"Dropped later occurrence, kept first",Same learner_id after standardizing case/whitespace almost certainly represents one learner entered twice; keeping the first avoids double-counting in engagement/assessment joins,2
learners,Inconsistent gender labels,"Standardized to {Female, Male, Non-binary, Not disclosed}",Free-text and inconsistent-case labels represented the same categories; standardizing enables consistent demographic reporting,155
learners,Grade outside Grade 10-12 scope,"Kept record, flagged with in_scope_grade=False",Platform is scoped to Grade 10-12 learners; an out-of-scope grade is retained (not fabricated away) but excluded from grade-specific breakdowns,1
learners,registration_date in mixed/invalid formats,"Parsed using known formats (ISO, DD/MM/YYYY, DD/MM/YY, DD-MM-YYYY, 'Month DD YYYY'); unparseable or calendar-invalid values set to missing (not guessed)",Multiple genuine date formats were present in the source; values like 'not_a_date' or a calendar-invalid date (e.g. 30 Feb) cannot be corrected without fabricating information,3
engagement,Fully duplicate rows,Dropped (kept first),Identical rows would double-count a learner's attendance/watch-time for a subject,1
engagement,Missing subject,Excluded from analysis (kept in flagged file),Subject-level engagement cannot be computed or attributed without a subject value,2
engagement,Duplicate learner+subject pairs,"Dropped later occurrence, kept first",Same learner's engagement for the same subject recorded twice would double-count participation,9
engagement,tutoring_attendance_pct outside 0-100,Set to missing (excluded from attendance metrics),A percentage outside 0-100 is not physically valid and the true value cannot be inferred; treating as missing avoids fabricating a number,7
engagement,Negative watch_time_minutes,Set to missing (excluded from watch-time metrics),Negative minutes are not physically possible and the correct value cannot be inferred,6
engagement,Orphaned learner_id (no matching learner record),Excluded from analysis (kept in flagged file),"Cannot attribute engagement to a known learner; per project decision, orphaned rows are excluded from analysis but retained in a flagged file rather than deleted",4
assessments,Fully duplicate rows,Dropped (kept first),Identical rows would double-count a learner's marks for a subject,1
assessments,Missing learner_id/subject,Excluded from analysis (kept in flagged file),Without a learner and subject key the row cannot be joined or attributed to any KPI,2
assessments,baseline_mark non-numeric text (e.g. 'MISSING'),Coerced to missing,A text placeholder in a numeric mark field cannot be treated as a value; recorded as missing rather than guessed,9
assessments,baseline_mark outside 0-100,Set to missing (excluded from mark-based metrics),A mark outside the valid 0-100 range is not usable and the correct value cannot be inferred,2
assessments,latest_mark outside 0-100 (repeated values of 1050 and 180),Set to missing (excluded from mark-based metrics),"Values of exactly 1050 (x9) and 180 (x2) are implausible marks and look like a systematic entry/extraction error (e.g. stray digit or decimal shift); the true value cannot be reconstructed with confidence, so it is treated as missing rather than 'corrected' by guesswork",11
assessments,Orphaned learner_id (no matching learner record),Excluded from analysis (kept in flagged file),Cannot attribute marks to a known learner; excluded from analysis but retained in flagged file,3
support_capacity,Negative weekly_tutor_hours,Set to missing prior to merge (recovered from duplicate subject row where available),Negative tutoring hours are not physically meaningful,1
support_capacity,Duplicate/inconsistent subject rows (8 rows for 4 real subjects),"Merged into 4 canonical subject records, taking the first valid (non-null, in-range) value per field across duplicates",Each subject had two near-duplicate rows differing only in label formatting or a single messy field; merging preserves the underlying capacity data without double-counting tutors/hours in any join,4
enquiries,Grade outside Grade 10-12 scope,"Kept record, flagged with in_scope_grade=False",Platform is scoped to Grade 10-12; out-of-scope grade retained but excluded from grade-specific views,1
enquiries,"Inconsistent converted_to_registration encoding (Y/Yes/1, N/No/0, Maybe, blank)","Standardized to {Yes, No, Maybe, Unknown}",Multiple encodings represented the same underlying flag; 'Maybe' is kept distinct rather than forced into Yes/No since it is genuinely ambiguous and excluding it (not guessing) preserves conversion-rate accuracy,122
enquiries,Fully duplicate rows / duplicate enquiry_id,"Dropped later occurrence, kept first",Same enquiry recorded twice would double-count demand or conversion for that subject,1
enquiries,enquiry_date in mixed/invalid formats (incl. calendar-invalid dates like 31 June),Parsed using known formats; unparseable/invalid set to missing,Mixed date formats and at least one calendar-impossible date were present; cannot be corrected without fabricating a date,1
